year,month,day,data,median,LB,UB
2024,5,25,342,341.5,341,342
2024,6,1,322,216.886095801604,-0,511.770564407192
2024,6,8,308,290.425503253983,31.1804458855435,559.254678735882
2024,6,15,360,353.945338099266,100.940870850374,619.857742126613
2024,6,22,419,415.143328133986,156.00033406904,675.635214265992
2024,6,29,417,486.174608955215,228.72776165194,747.82954653591
2024,7,6,463,546.28360596416,287.367327280366,806.97613138114
2024,7,13,500,611.160447161489,336.616941244147,867.003154529416
2024,7,20,609,669.750780151946,395.502740738903,923.245177244748
2024,7,27,743,721.358171851231,442.648321772491,977.557851414228
2024,8,3,891,762.414157515883,495.436066319296,1017.09477526126
2024,8,10,971,804.790435800157,542.165903853324,1071.07776683322
2024,8,17,936,837.696309514116,563.291083581858,1108.22266355416
2024,8,24,902,856.817841385027,586.450246779813,1137.10316005298
2024,8,31,663,881.385516781097,591.45386130505,1170.86499066696
2024,9,7,NaN,896.029566956819,576.968993547896,1233.3320683221
2024,9,14,NaN,902.266274061198,560.577566850442,1296.26260543228
2024,9,21,NaN,912.396030228808,497.921711688576,1357.90083953367
2024,9,28,NaN,912.958487655552,438.135632817583,1410.72899588819
