year,month,day,data,median,LB,UB
2024,5,25,342,342,342,342
2024,6,1,322,209.668126062356,-0,440.352176890366
2024,6,8,308,280.003736086625,46.2536895805952,502.448461863247
2024,6,15,360,346.268620414773,111.956603807582,576.994491488862
2024,6,22,419,415.15847918264,181.777795152952,645.064692849663
2024,6,29,417,484.579426654338,261.378398486125,710.67855466405
2024,7,6,463,560.86354370405,328.493424520312,791.177056524241
2024,7,13,500,627.303544828058,396.118609182169,857.697897632445
2024,7,20,609,686.386214343359,459.663560388897,924.269001080062
2024,7,27,743,742.18234217652,510.914890443352,966.835812090891
2024,8,3,891,782.15706952021,565.484411134431,1010.88026433504
2024,8,10,971,820.928011692002,587.602883902166,1051.02911399761
2024,8,17,936,845.229737550258,608.520370067731,1076.02928588735
2024,8,24,902,856.38723248277,623.831215728752,1096.54064130732
2024,8,31,663,862.505843728685,601.909681498123,1123.34447541312
2024,9,7,NaN,853.773896434006,575.703245911307,1144.88160267971
2024,9,14,NaN,838.32698084816,525.331716678618,1189.20515337002
2024,9,21,NaN,810.678847957506,469.521456709794,1218.34724902373
2024,9,28,NaN,774.207853923505,408.40974722449,1265.49725177716
