month,day,data,median,LB,UB
4,28,21,21,21,21
5,5,30,20.7343060155194,-0,51.6935317067848
5,12,25,23.418983903828,-0,51.95936498103
5,19,17,25.3638997705898,-0,54.299649454526
5,26,12,27.490753868936,-0,56.485357602188
6,2,30,28.8029928145905,0.645475933018171,58.6247465761344
6,9,45,30.2398158660967,1.81968440327125,58.7435775265155
6,16,43,31.2574736664638,2.02233730077436,60.6153130172219
6,23,20,32.2478096486333,1.56777880629845,64.5922053944728
6,30,NaN,33.2140853185081,0.370169742902588,69.0338609377569
7,7,NaN,33.6986773235558,-0,78.7189086670508
7,14,NaN,33.9940275139344,-0,85.5509601001415
7,21,NaN,34.8032699343909,-0,98.5364442686414
