year,month,day,data,median,LB,UB
2024,4,28,21,20.5,20,21
2024,5,5,30,23.6391107663564,-0,79.0039626367428
2024,5,12,25,27.262345624707,-0,79.2414518184886
2024,5,19,17,29.0885904346861,-0,83.1461524036717
2024,5,26,12,30.9831880018203,-0,90.2680446235555
2024,6,2,30,30.8819991855892,-0,107.182462790219
2024,6,9,45,30.3494430391322,-0,156.696128791793
2024,6,16,43,31.4881870893011,-0,257.139172957695
2024,6,23,20,32.2187416504329,-0,437.766866721779
2024,6,30,NaN,33.2819411078438,-0,765.990681673843
2024,7,7,NaN,33.9037553610851,-0,1335.98309636426
2024,7,14,NaN,34.8870507778872,-0,2282.69066919664
2024,7,21,NaN,35.4463488092384,-0,4006.7057944297
