year,month,day,data,median,LB,UB
2024,4,28,21,20,20,20
2024,5,5,30,27.3393560795562,-0,90.7592714796787
2024,5,12,25,31.3891519422551,-0,88.1445334973606
2024,5,19,17,35.8752456059604,-0,96.4623978026345
2024,5,26,12,36.9645959724602,-0,99.0255372728522
2024,6,2,30,35.7842503025526,-0,125.99852658934
2024,6,9,45,31.7471260417553,-0,197.756302751032
2024,6,16,43,30.6053344336809,-0,340.225150075278
2024,6,23,20,29.7532560322171,-0,617.800751483576
2024,6,30,NaN,30.0452590240158,-0,1104.15731334504
2024,7,7,NaN,30.592511915675,-0,1971.52965128397
2024,7,14,NaN,32.0924556722935,-0,3283.26182892139
2024,7,21,NaN,33.0790039014415,-0,5304.04468810061
