Date,data,median,LB,UB
2024-04-07,15,21.21,8.95,33.47
2024-04-14,36,21.45,10.44,32.47
2024-04-21,0,21.7,11.85,31.55
2024-04-28,21,21.95,13.17,30.72
2024-05-05,30,22.19,14.36,30.03
2024-05-12,25,22.44,15.35,29.53
2024-05-19,17,22.69,16.08,29.3
2024-05-26,12,22.93,16.5,29.37
2024-06-02,30,23.18,16.57,29.79
2024-06-09,45,23.43,16.33,30.52
2024-06-16,43,23.67,15.83,31.51
2024-06-23,20,23.92,15.15,32.69
2024-06-30,12,24.17,14.32,34.01
2024-07-07,24,24.41,13.39,35.43
2024-07-14,14,24.66,12.4,36.92
2024-07-21,NA,24.9,11.36,38.45
2024-07-28,NA,25.15,10.28,40.03
2024-08-04,NA,25.4,9.17,41.63
2024-08-11,NA,25.64,8.03,43.25
