Date,data,median,LB,UB
2024-04-07,15,21.23,0,43.58
2024-04-14,36,21.47,0,44.12
2024-04-21,0,21.72,0,43.83
2024-04-28,21,21.96,0,43.61
2024-05-05,30,22.21,0,46.24
2024-05-12,25,22.45,1.47,45.79
2024-05-19,17,22.7,0,46.49
2024-05-26,12,22.95,2.17,44.96
2024-06-02,30,23.19,0,46.99
2024-06-09,45,23.44,1.51,45.18
2024-06-16,43,23.68,0.68,45.02
2024-06-23,20,23.93,0.81,47.07
2024-06-30,12,24.17,0.03,47.57
2024-07-07,24,24.42,1.16,48.29
2024-07-14,14,24.66,3.02,46.94
2024-07-21,NA,24.91,3.16,45.74
2024-07-28,NA,25.16,2.78,48.31
2024-08-04,NA,25.4,3.94,48.68
2024-08-11,NA,25.65,2.76,48.22
