Date,data,median,LB,UB
2024-04-21,0,0.15,0,4.6
2024-04-28,21,20.8,16.91,24.69
2024-05-05,30,29.77,26.11,33.43
2024-05-12,25,25.94,22.14,29.74
2024-05-19,17,15.15,11.89,18.42
2024-05-26,12,14.04,10.45,17.64
2024-06-02,30,29.1,25.39,32.81
2024-06-09,45,45.28,42.06,48.5
2024-06-16,43,42.42,38.71,46.12
2024-06-23,20,19.43,15.83,23.02
2024-06-30,12,14.63,11.36,17.9
2024-07-07,24,21.37,17.57,25.17
2024-07-14,14,14.69,11.03,18.36
2024-07-21,11,11.54,7.65,15.44
2024-07-28,23,22.68,18.24,27.13
2024-08-04,NA,40.62,21.69,59.54
2024-08-11,NA,58.56,23.08,94.04
2024-08-18,NA,76.5,24.33,128.67
2024-08-25,NA,94.44,25.54,163.34
