month,day,data,median,LB,UB
4,14,2,2,2,2
4,21,0,2.05370035008527,-0,10.0758505272396
4,28,2,2.46800582760929,-0,10.5675611379818
5,5,6,2.80170803175236,-0,10.8464531576329
5,12,6,3.25325035640099,-0,11.0224514874683
5,19,1,3.56633305291902,-0,11.5415189799932
5,26,2,3.94272104471217,-0,11.9442990264703
6,2,0,4.20227472483683,-0,12.2172597222489
6,9,10,4.34653075991217,-0,12.469690828363
6,16,3,4.49797285561468,-0,13.3626302118827
6,23,NaN,4.52177296633701,-0,14.8741103975375
6,30,NaN,4.68032832079432,-0,18.4777942471121
7,7,NaN,4.58392170220867,-0,23.5798921639631
7,14,NaN,4.45212323644364,-0,32.4290361118625
