year,month,day,data,median,LB,UB
2024,4,14,2,2,2,2
2024,4,21,0,2.30225682998074,-0,10.4913162284642
2024,4,28,2,2.67588774031605,-0,10.5847108644113
2024,5,5,6,3.06520190665272,-0,10.8190678163122
2024,5,12,6,3.33906897278759,-0,11.2939521195557
2024,5,19,1,3.66375319350633,-0,11.4026758081733
2024,5,26,2,3.84771406673612,-0,12.0134246826244
2024,6,2,0,4.23588097957157,-0,12.3429562471462
2024,6,9,10,4.32242424582468,-0,12.5106294132568
2024,6,16,3,4.57769811613343,-0,13.2520438387579
2024,6,23,NaN,4.7250495040658,-0,15.2954738114382
2024,6,30,NaN,4.82851608760835,-0,18.9267492920998
2024,7,7,NaN,4.87851268121847,-0,24.0314287692797
2024,7,14,NaN,5.0228528529559,-0,30.8286783175947
