Date,data,median,LB,UB
2024-04-28,2,3.07,0.48,5.67
2024-05-05,6,3.19,0.88,5.51
2024-05-12,6,3.31,1.25,5.38
2024-05-19,1,3.43,1.59,5.27
2024-05-26,2,3.55,1.9,5.2
2024-06-02,0,3.67,2.18,5.17
2024-06-09,10,3.8,2.4,5.2
2024-06-16,3,3.92,2.55,5.29
2024-06-23,3,4.05,2.64,5.45
2024-06-30,2,4.17,2.67,5.67
2024-07-07,4,4.3,2.65,5.95
2024-07-14,3,4.43,2.59,6.27
2024-07-21,4,4.56,2.5,6.63
2024-07-28,7,4.69,2.38,7.01
2024-08-04,6,4.83,2.24,7.42
2024-08-11,NA,4.96,2.08,7.84
2024-08-18,NA,5.09,1.91,8.27
2024-08-25,NA,5.23,1.74,8.71
2024-09-01,NA,5.36,1.55,9.16
