Date,data,median,LB,UB
2024-05-12,6,1.97,0,5.18
2024-05-19,1,2.35,0,5.23
2024-05-26,2,2.72,0.15,5.3
2024-06-02,0,3.1,0.8,5.4
2024-06-09,10,3.47,1.42,5.53
2024-06-16,3,3.85,1.99,5.71
2024-06-23,3,4.22,2.49,5.96
2024-06-30,2,4.6,2.91,6.29
2024-07-07,4,4.97,3.24,6.71
2024-07-14,3,5.35,3.49,7.21
2024-07-21,4,5.72,3.67,7.78
2024-07-28,7,6.1,3.8,8.4
2024-08-04,6,6.47,3.9,9.05
2024-08-11,4,6.85,3.97,9.73
2024-08-18,14,7.23,4.02,10.43
2024-08-25,NA,7.6,4.05,11.15
2024-09-01,NA,7.98,4.08,11.87
2024-09-08,NA,8.35,4.1,12.6
2024-09-15,NA,8.73,4.11,13.34
