Date,data,median,LB,UB
2024-05-12,6,1.99,0,8.11
2024-05-19,1,2.36,0,8.56
2024-05-26,2,2.74,0,8.61
2024-06-02,0,3.11,0,9.14
2024-06-09,10,3.49,0,9.28
2024-06-16,3,3.87,0,10.05
2024-06-23,3,4.24,0,10.11
2024-06-30,2,4.62,0,10.71
2024-07-07,4,4.99,0,11
2024-07-14,3,5.37,0,11.08
2024-07-21,4,5.75,0,12.06
2024-07-28,7,6.12,0.01,11.81
2024-08-04,6,6.5,0.4,12.46
2024-08-11,4,6.87,0.82,12.52
2024-08-18,14,7.25,1.06,13.05
2024-08-25,NA,7.63,1.71,13.2
2024-09-01,NA,8,2.34,14.45
2024-09-08,NA,8.38,2.5,14.34
2024-09-15,NA,8.75,2.89,14.7
