year,month,day,data,median,LB,UB
2024,3,24,12,12,12,12
2024,3,31,8,3.72417245723037,-0,12.4385556820194
2024,4,7,4,4.18132219326842,-0,12.8736731367937
2024,4,14,6,4.69411922705225,-0,13.3481569711509
2024,4,21,0,5.37560402579878,-0,14.037753406168
2024,4,28,2,6.00211914730333,-0,14.757383049942
2024,5,5,9,6.66449897189483,-0,15.7151281463232
2024,5,12,12,7.65495935491817,-0,16.3941153645606
2024,5,19,5,8.54835570607657,-0,17.8881116150315
2024,5,26,11,9.6428564056916,0.110590347726902,19.7759914118191
2024,6,2,NaN,10.715870413945,0.0957554462209176,21.9400128594124
2024,6,9,NaN,11.890696139634,0.493279180129067,25.3072917274333
2024,6,16,NaN,13.1438794636375,0.713187507621178,30.3745913234439
2024,6,23,NaN,14.7144738451747,0.911734735898515,35.9398674228108
