month,day,data,median,LB,UB
4,7,4,4,4,4
4,14,6,2.91041012952185,-0,10.7676148864907
4,21,0,4.05221151363285,-0,11.9490758571213
4,28,2,5.01290387704883,-0,13.4376397220751
5,5,9,6.43244743529447,-0,14.8620420446954
5,12,12,7.62250904938923,-0,15.9360956777185
5,19,5,8.719309478728,0.330624186729857,16.9735777732814
5,26,11,9.35231836705755,1.12425643558603,17.5224975595374
6,2,7,9.74152261796605,0.853301729901688,18.2864980821869
6,9,11,9.42142394701567,0.233256043569178,18.5921109816805
6,16,NaN,8.9669056523786,-0,20.5264695710165
6,23,NaN,8.21155752243764,-0,23.6682535679183
6,30,NaN,7.32446076639588,-0,28.5210908863484
7,7,NaN,6.53690167326863,-0,35.3936880315541
