year,month,day,data,median,LB,UB
2024,4,7,4,4,4,4
2024,4,14,6,2.45489025000016,-0,14.3494748665574
2024,4,21,0,2.73084847127519,-0,14.4681640750377
2024,4,28,2,3.98250094742281,-0,16.9875009169638
2024,5,5,9,7.26602456489915,-0,19.1804978553313
2024,5,12,12,8.56867561944221,-0,20.3204675468265
2024,5,19,5,9.25643845009036,-0,20.8821340177868
2024,5,26,11,9.57529602866583,-0,21.1378104903887
2024,6,2,7,10.2438356834576,-0,21.7070400295749
2024,6,9,11,10.9696011859354,-0,24.5857034038332
2024,6,16,NaN,11.3427865807971,-0,26.7156515208873
2024,6,23,NaN,11.6037242437076,-0,31.7487386091013
2024,6,30,NaN,12.0826518275145,-0,37.7335590544356
2024,7,7,NaN,12.1484943756003,-0,48.796066422379
