Date,data,median,LB,UB
2024-04-14,6,6,6,6
2024-04-21,0,3.849098613,0,11.59873944
2024-04-28,2,5.081850997,0,12.46138824
2024-05-05,9,6.369243697,0,13.67031636
2024-05-12,12,7.65252181,0.250222827,15.1806125
2024-05-19,5,8.607340169,0.76943711,16.23307777
2024-05-26,11,9.332573381,1.579093425,17.1201931
2024-06-02,7,9.597444099,1.88430204,17.21615658
2024-06-09,11,9.189124948,1.382722606,17.17501637
2024-06-16,9,8.535157578,0.242493659,17.17681042
2024-06-23,NaN,7.624534568,0,17.97870554
2024-06-30,NaN,6.823043281,0,18.96088771
2024-07-07,NaN,5.832094899,0,20.35996781
2024-07-14,NaN,4.952378407,0,23.08644039
