Date,data,median,LB,UB
2024-04-14,6,6,6,6
2024-04-21,0,3.792492068,0,11.16242707
2024-04-28,2,4.886773966,0,12.41060159
2024-05-05,9,6.217252547,0,13.93523061
2024-05-12,12,7.575927531,0.094211516,15.41864632
2024-05-19,5,8.624762003,1.005957121,16.05197107
2024-05-26,11,9.42106878,1.936121572,16.98947736
2024-06-02,7,9.570121469,2.058045608,16.97205206
2024-06-09,11,9.371330612,1.590921159,17.07693767
2024-06-16,9,8.796729075,0.515970118,17.13185826
2024-06-23,NaN,7.940313319,0,17.67791967
2024-06-30,NaN,6.88860684,0,18.80270197
2024-07-07,NaN,6.058923546,0,20.5506931
2024-07-14,NaN,5.021200786,0,22.2192581
