year,month,day,data,median,LB,UB
2024,4,14,6,6,6,6
2024,4,21,0,2.99348728693087,-0,11.4592843218465
2024,4,28,2,4.21394908553826,-0,12.8197184335979
2024,5,5,9,7.57772741645901,-0,18.9717606317957
2024,5,12,12,8.61240537861746,0.111545036404807,18.8628212824566
2024,5,19,5,8.96184050133452,0.288273382405166,17.9277993358158
2024,5,26,11,9.05493055275262,0.429259945593218,17.4503716489449
2024,6,2,7,9.07343661421127,0.385584447612764,17.6218252336825
2024,6,9,11,9.12706656477111,0.643442020919782,17.8810107366022
2024,6,16,9,9.01980460661442,-0,18.7155803888741
2024,6,23,NaN,8.78376238075338,-0,20.1763141519285
2024,6,30,NaN,8.36928240676561,-0,21.9995345780244
2024,7,7,NaN,8.00464526743636,-0,25.3747587799871
2024,7,14,NaN,7.70203295618133,-0,28.3766963308484
