Date,data,median,LB,UB
2024-04-07,4,3.33,0,7.5
2024-04-14,6,4.13,0.86,7.4
2024-04-21,0,4.95,2.22,7.68
2024-04-28,2,5.79,3.3,8.28
2024-05-05,9,6.61,4.2,9.03
2024-05-12,12,7.35,4.93,9.77
2024-05-19,5,7.94,5.51,10.37
2024-05-26,11,8.35,5.92,10.79
2024-06-02,7,8.57,6.14,11
2024-06-09,11,8.59,6.17,11.01
2024-06-16,9,8.41,5.99,10.83
2024-06-23,11,8.05,5.56,10.54
2024-06-30,3,7.56,4.83,10.29
2024-07-07,9,6.99,3.72,10.25
2024-07-14,4,6.37,2.2,10.54
2024-07-21,NA,5.74,0.37,11.11
2024-07-28,NA,5.12,0,11.85
2024-08-04,NA,4.49,0,12.65
2024-08-11,NA,3.87,0,13.5
