Date,data,median,LB,UB
2024-04-28,2,6.14,0,14.63
2024-05-05,9,6.59,0,15.18
2024-05-12,12,7.03,0,15.18
2024-05-19,5,7.48,0,15.84
2024-05-26,11,7.93,0,15.96
2024-06-02,7,8.37,0,16.94
2024-06-09,11,8.82,0.62,16.96
2024-06-16,9,9.26,0.41,17.71
2024-06-23,11,9.71,1.67,18.04
2024-06-30,3,10.16,1.65,18.08
2024-07-07,9,10.6,2.43,19.36
2024-07-14,4,11.05,2.57,18.93
2024-07-21,15,11.49,3.03,19.76
2024-07-28,21,11.94,3.54,19.77
2024-08-04,10,12.39,3.8,20.43
2024-08-11,NA,12.83,4.63,20.56
2024-08-18,NA,13.28,5.43,22.21
2024-08-25,NA,13.72,5.58,22
2024-09-01,NA,14.17,6.04,22.41
