Date,data,median,LB,UB
2024-05-19,5,5.57,1.12,10.01
2024-05-26,11,6.41,2.41,10.41
2024-06-02,7,7.25,3.68,10.82
2024-06-09,11,8.1,4.91,11.28
2024-06-16,9,8.94,6.1,11.78
2024-06-23,11,9.78,7.21,12.35
2024-06-30,3,10.62,8.23,13.02
2024-07-07,9,11.47,9.13,13.8
2024-07-14,4,12.31,9.91,14.71
2024-07-21,15,13.15,10.58,15.73
2024-07-28,21,14,11.15,16.84
2024-08-04,10,14.84,11.66,18.02
2024-08-11,21,15.68,12.11,19.25
2024-08-18,19,16.52,12.53,20.52
2024-08-25,16,17.37,12.92,21.81
2024-09-01,NA,18.21,13.3,23.12
2024-09-08,NA,19.05,13.66,24.45
2024-09-15,NA,19.9,14.01,25.78
2024-09-22,NA,20.74,14.35,27.13
