month,day,data,median,LB,UB
3,24,23,23,23,23
3,31,8,9.51638616936722,-0,24.5147707286343
4,7,12,10.8498917896726,-0,25.7903647640159
4,14,13,12.0332292099295,-0,26.3113272915198
4,21,0,11.902741393001,-0,26.6577332346109
4,28,19,11.5940359171156,-0,26.2142655201845
5,5,15,10.6195654030119,-0,24.8657208143999
5,12,8,9.29985754926207,-0,23.9198820839656
5,19,12,8.14622763893646,-0,22.6764312904345
5,26,0,6.80004575698563,-0,22.375171788913
6,2,NaN,5.77534572205071,-0,22.2934889134208
6,9,NaN,4.77055375850238,-0,22.5111468290966
6,16,NaN,3.97890691304128,-0,22.9387765399422
6,23,NaN,3.53497599410731,-0,23.9529779902168
