year,month,day,data,median,LB,UB
2024,4,7,12,11,11,11
2024,4,14,13,11.0109883526975,-0,41.1807345055145
2024,4,21,0,13.5448081578024,-0,40.3078959683345
2024,4,28,19,15.5821940813046,-0,42.2258397400393
2024,5,5,15,17.5021978138123,-0,45.3405986583181
2024,5,12,8,19.450622478644,-0,49.1368690379766
2024,5,19,12,21.6144276225561,-0,57.4339940535703
2024,5,26,0,23.312352744952,-0,78.8901124165343
2024,6,2,16,25.2265935856173,-0,116.151186054542
2024,6,9,19,26.5430426502461,-0,175.121550986068
2024,6,16,NaN,27.6358081174603,-0,269.856436785525
2024,6,23,NaN,28.4143072870029,-0,430.371734821525
2024,6,30,NaN,29.9789434476445,-0,699.41073466154
2024,7,7,NaN,31.0739319624602,-0,1117.98656222283
