Date,data,median,LB,UB
2024-04-07,12,11.28,0.3,21.57
2024-04-14,13,11.22,1.07,21.64
2024-04-21,0,11.16,0.39,21.34
2024-04-28,19,11.1,0,21.18
2024-05-05,15,11.04,0.5,22.1
2024-05-12,8,10.98,1.32,21.72
2024-05-19,12,10.92,0.08,21.87
2024-05-26,0,10.86,1.3,20.99
2024-06-02,16,10.8,0,21.75
2024-06-09,19,10.74,0.66,20.91
2024-06-16,8,10.69,0.1,20.35
2024-06-23,14,10.63,0,21.27
2024-06-30,10,10.57,0,21.33
2024-07-07,9,10.51,0,21.49
2024-07-14,8,10.45,0.49,20.7
2024-07-21,NA,10.39,0.37,19.97
2024-07-28,NA,10.33,0.08,20.98
2024-08-04,NA,10.27,0.12,20.98
2024-08-11,NA,10.21,0,20.63
