Date,data,median,LB,UB
2024-04-14,13,10.87,5.15,16.58
2024-04-21,0,10.87,5.73,16.01
2024-04-28,19,10.87,6.27,15.46
2024-05-05,15,10.87,6.77,14.96
2024-05-12,8,10.87,7.21,14.52
2024-05-19,12,10.87,7.56,14.18
2024-05-26,0,10.87,7.78,13.95
2024-06-02,16,10.87,7.86,13.87
2024-06-09,19,10.87,7.78,13.95
2024-06-16,8,10.87,7.56,14.18
2024-06-23,14,10.87,7.21,14.52
2024-06-30,10,10.87,6.77,14.96
2024-07-07,9,10.87,6.27,15.46
2024-07-14,8,10.87,5.73,16.01
2024-07-21,12,10.87,5.15,16.58
2024-07-28,NA,10.87,4.55,17.19
2024-08-04,NA,10.87,3.93,17.81
2024-08-11,NA,10.87,3.3,18.44
2024-08-18,NA,10.87,2.65,19.08
