year,month,day,data,median,LB,UB
2024,4,7,122,122,122,122
2024,4,14,162,121.300685504969,-0,328.750292246994
2024,4,21,0,101.419679576382,-0,254.63210252716
2024,4,28,159,106.234972292761,-0,251.706494742579
2024,5,5,137,116.027907877359,-0,260.320837071857
2024,5,12,149,127.023110773788,-0,270.133965243716
2024,5,19,138,136.321014888114,-0,273.463278741283
2024,5,26,117,147.183491103421,0.760796640125818,292.975829991611
2024,6,2,153,156.568053522961,7.18824770628353,313.972741673544
2024,6,9,177,166.962979577011,14.9876583449806,345.390535265247
2024,6,16,NaN,181.05242527712,6.90357752957527,434.097542954848
2024,6,23,NaN,188.880783531487,4.5976402161774,635.97598721522
2024,6,30,NaN,196.702799368263,3.06345173149765,938.695725596447
2024,7,7,NaN,203.74744602812,-0,1409.58281040941
