month,day,data,median,LB,UB
4,28,159,159,159,159
5,5,137,129.09868130748,47.9767264963554,209.20396551606
5,12,149,136.786307334309,57.9331804908121,213.512174612887
5,19,138,141.990293937209,70.9945640040242,214.837596847896
5,26,117,144.62538927532,71.2276127355847,220.109176836648
6,2,153,148.166041091918,74.0621415201931,221.36655374502
6,9,177,149.97084014668,73.8681601193017,226.196834445158
6,16,93,148.477142832479,72.2422826402154,224.714847001343
6,23,184,147.715326765536,67.0358247636871,229.358642722545
6,30,NaN,148.231496806641,60.5295593695585,234.815427283941
7,7,NaN,148.525289982318,49.9716342218585,245.301321909006
7,14,NaN,148.745756822519,39.25613164932,252.443249482883
7,21,NaN,148.58988674588,32.1219459122621,257.072495969525
