Date,data,median,LB,UB
2024-04-21,0,92.93,35.92,149.93
2024-04-28,159,101.32,52.97,149.67
2024-05-05,137,109.72,69.05,150.38
2024-05-12,149,118.11,83.51,152.71
2024-05-19,138,126.5,95.37,157.63
2024-05-26,117,134.9,103.77,166.03
2024-06-02,153,143.29,108.69,177.89
2024-06-09,177,151.68,111.02,192.35
2024-06-16,93,160.08,111.73,208.43
2024-06-23,184,168.47,111.47,225.48
2024-06-30,NA,176.87,110.61,243.12
2024-07-07,NA,185.26,109.38,261.14
2024-07-14,NA,193.65,107.9,279.41
2024-07-21,NA,202.05,106.24,297.85
