year,month,day,data,median,LB,UB
2024,3,24,99,99,98,99
2024,3,31,91,89,68,113
2024,4,7,122,100,79,123.5
2024,4,14,162,110,89,132
2024,4,21,0,117,95,140
2024,4,28,159,124,102,147.5
2024,5,5,137,130,107,154
2024,5,12,149,136,113,161
2024,5,19,138,141,117,166
2024,5,26,117,146,121,171
2024,6,2,153,151,126,177
2024,6,9,177,155,130,182
2024,6,16,93,160,134,188
2024,6,23,184,164,137,193
2024,6,30,215,168,141,199
2024,7,7,NaN,171,143,207.5
2024,7,14,NaN,175,145,218
2024,7,21,NaN,178,148,232
2024,7,28,NaN,181,150,247
