Date,data,median,LB,UB
2024-04-07,122,109.41,65.11,153.7
2024-04-14,162,113.85,74.04,153.67
2024-04-21,0,118.3,82.72,153.88
2024-04-28,159,122.75,91.04,154.45
2024-05-05,137,127.19,98.87,155.52
2024-05-12,149,131.64,106,157.28
2024-05-19,138,136.09,112.21,159.97
2024-05-26,117,140.53,117.27,163.8
2024-06-02,153,144.98,121.1,168.86
2024-06-09,177,149.43,123.79,175.06
2024-06-16,93,153.87,125.55,182.2
2024-06-23,184,158.32,126.62,190.02
2024-06-30,215,162.77,127.18,198.35
2024-07-07,157,167.21,127.4,207.02
2024-07-14,145,171.66,127.36,215.95
2024-07-21,NA,176.1,127.15,225.06
2024-07-28,NA,180.55,126.79,234.31
2024-08-04,NA,185,126.34,243.65
2024-08-11,NA,189.44,125.81,253.08
