year,month,day,data,median,LB,UB
2024,4,28,159,159,159,159
2024,5,5,137,115,93,141
2024,5,12,149,128,104,154
2024,5,19,138,138,115,164
2024,5,26,117,147,122,174
2024,6,2,153,155,130,181
2024,6,9,177,162,137,189
2024,6,16,93,168,143,196
2024,6,23,184,174,148,202
2024,6,30,215,179.5,152,208
2024,7,7,157,184,156,214
2024,7,14,145,189,161,219
2024,7,21,215,194,164,225
2024,7,28,259,197,167,230
2024,8,4,NaN,202,171.5,235
2024,8,11,NaN,205,175,238
2024,8,18,NaN,209,176.5,243.5
2024,8,25,NaN,213,179,248
