year,month,day,data,median,LB,UB
2024,4,28,159,158,158,158
2024,5,5,137,136,108,168
2024,5,12,149,137,111,164
2024,5,19,138,138,113,165
2024,5,26,117,140,114,166
2024,6,2,153,143,117,168
2024,6,9,177,147,121,174
2024,6,16,93,153,127,181
2024,6,23,184,161,134,189
2024,6,30,215,169,143,198
2024,7,7,157,178,151,208
2024,7,14,145,188,161,219
2024,7,21,215,198,169,229
2024,7,28,259,209,177,241
2024,8,4,183,218,185,253
2024,8,11,NaN,227,191,268
2024,8,18,NaN,236,195,282
2024,8,25,NaN,244,196,296
2024,9,1,NaN,251,196,310
