Date,data,median,LB,UB
2024-06-23,184,171.41,110.54,230.39
2024-06-30,215,179.84,120.09,235.36
2024-07-07,157,188.26,129.72,245.85
2024-07-14,145,196.69,137.59,254.73
2024-07-21,215,205.12,152.1,261.95
2024-07-28,259,213.54,153.95,272.9
2024-08-04,183,221.97,164.1,278.06
2024-08-11,234,230.4,169.93,287.99
2024-08-18,250,238.82,177,300.1
2024-08-25,251,247.25,187.99,303.42
2024-09-01,NA,255.68,194.46,312.93
2024-09-08,NA,264.1,203,318.61
2024-09-15,NA,272.53,218.97,332.03
2024-09-22,NA,280.96,216.23,336.68
