Date,data,median,LB,UB
2024-07-07,157,167.86,138.88,196.84
2024-07-14,145,179.78,154.47,205.09
2024-07-21,215,191.7,169.76,213.64
2024-07-28,259,203.62,184.6,222.64
2024-08-04,183,215.54,198.74,232.33
2024-08-11,234,227.46,211.89,243.02
2024-08-18,250,239.38,223.81,254.94
2024-08-25,251,251.3,234.5,268.09
2024-09-01,234,263.22,244.19,282.24
2024-09-08,292,275.14,253.2,297.07
2024-09-15,292,287.05,261.74,312.37
2024-09-22,289,298.97,269.99,327.95
2024-09-29,NA,310.89,278.05,343.74
2024-10-06,NA,322.81,285.97,359.66
2024-10-13,NA,334.73,293.79,375.68
2024-10-20,NA,346.65,301.54,391.76
