Date,data,median,LB,UB
2024-07-07,157,167.84,118.49,221.15
2024-07-14,145,179.77,134.89,225.48
2024-07-21,215,191.7,147.27,240.25
2024-07-28,259,203.63,152.75,250.88
2024-08-04,183,215.56,171.07,263.86
2024-08-11,234,227.5,176.8,274.03
2024-08-18,250,239.43,191.09,283.61
2024-08-25,251,251.36,202.76,302.75
2024-09-01,234,263.29,212.64,309.25
2024-09-08,292,275.22,226.05,322.38
2024-09-15,292,287.15,238,335.64
2024-09-22,289,299.08,249.05,347.99
2024-09-29,NA,311.01,264.41,358.79
2024-10-06,NA,322.94,277.08,367.38
2024-10-13,NA,334.87,286.38,384.1
2024-10-20,NA,346.8,295.57,395.91
